Partial,Newly Added,Deleted
_entropy_readall,get_test_wake_uuid,chudxnu_free_memory_size
_nfs4_claim_delegated_open_rpc,is_wakeuuid_set,chudxnu_inactive_memory_size
_cfil_ctl_disconnect,if_ports_used_update_wakeuuid,chudxnu_timer_alloc
_ip6_init,net_port_info_equal,chudxnu_timer_callback_enter
_auditon,net_port_info_has_entry,chudxnu_timer_callback_cancel
_dosetrlimit,net_port_info_add_entry,chudxnu_timer_free
_lck_rw_lock_shared_to_exclusive,if_ports_used_add_inpcb,chudxnu_bind_thread
_nfs4_open_reclaim_rpc,necp_fd_memstatus,chudxnu_unbind_thread
_ifioctl_restrict_intcoproc,necp_fd_defunct,chudxnu_enable_cpu
_tcp_getheuristic_with_lock,necp_client_reap_caches,chudxnu_perfmon_acquire_facility
_nfsrv_updatecache,route_op_entitlement_check,chudxnu_perfmon_release_facility
_nfs_vnop_remove,mptcp_search_seq_in_sub,chudxnu_get_cpu_interrupt_counters
_nstat_control_send,mptcp_desynthesize_ipv6_addr,chudxnu_clear_cpu_interrupt_counters
_nstat_sysinfo_send_data,mptcp_handle_ipv6_connection,chudxnu_cpu_alloc
_kern_asl_msg_va,mptcp_finish_usrclosed,chudxnu_cpu_free
_mbuf_slab_alloc,KERNEL_DEBUG_CONSTANT_IST1,chudxnu_private_cpu_timer_callback
_vn_read,cpx_writeprotect,chudxnu_cpu_timer_callback_enter
_in_joingroup,hibernate_sync_async,chudxnu_cpu_timer_callback_cancel
_hibernate_flush_memory,hibernate_sync_thread,chudxnu_cpu_timer_callback_cancel_all
_nfs_boot_init,networking_memstatus_callout,chudxnu_private_chud_ast_callback
_nfsrv_fhtovp,syncOFVariables,chudxnu_perfmon_ast_callback_enter
_key_acquire,IOPMCopySleepWakeUUIDKey,chudxnu_perfmon_ast_callback_cancel
_lightweight_update_priority,setEncryptionKey,chudxnu_perfmon_ast_send_urgent
_vm_map_wire_nested,IOPolledFilePollersSetEncryptionKey,chudxnu_private_interrupt_callback
_vm_map_remove_upl,copyPortNameForObjectInTask,chudxnu_interrupt_callback_enter
_vm_shared_region_map_file,copyObjectForPortNameInTask,chudxnu_interrupt_callback_cancel
_NMI_cpus,adjustPortNameReferencesInTask,chudxnu_private_cpu_signal_handler
_nfs_vnop_mnomap,is_io_device_tree_entry_exists_with_name,chudxnu_cpu_signal_handler
_nfs_vnop_advlock,random_buf,chudxnu_cpusig_callback_enter
_tcp_heuristics_tfo_update,sched_perfcontrol_work_interval_ctl_default,chudxnu_cpusig_callback_cancel
_ks_32bit_entry_check,update_mdscr,chudxnu_cpusig_send
_c_seg_minor_compaction_and_unlock,SET_DBGBCRn,chudxnu_thread_get_state
_nfs4_remove_rpc,SET_DBGBVRn,chudxnu_thread_set_state
_ifnet_get_local_ports_extended,SET_DBGWCRn,chudxnu_task_read
_pktmnglr_ipfilter_input,SET_DBGWVRn,chudxnu_task_write
IOService::_adjustBusy(int),kcdata_record_task_instrs_cycles,chudxnu_kern_read
_nfs_down,sched_multiq_thread_avoid_processor,chudxnu_kern_write
_fasttrap_provider_lookup,choose_processor_for_realtime_thread,do_backtrace32
_bond_input,all_available_primaries_are_running_realtime_threads,do_backtrace64
_sflt_register_common,task_set_ca_client_wi,do_kernel_backtrace
"IOService::copyExistingServices(OSDictionary *,unsigned int,unsigned int)",task_update_cpu_time_qos_stats,chudxnu_thread_get_callstack64_internal
IOService::all_done(void),task_self_region_footprint,chudxnu_thread_get_callstack64_kperf
_zfree,task_self_region_footprint_set,chudxnu_thread_get_callstack64
_make_ifmibdata,thread_set_honor_qlimit,task_allowed_vm_map_fork
_tcp_getcache_with_lock,thread_clear_honor_qlimit,vm_purgeable_volatile_queue_disown
_exec_shell_imgact,get_zone_info,kasan_unsafe_start
_cchmac_init,mach_zone_info_for_zone,kasan_unsafe_end
_buf_strategy,mach_zone_info_for_largest_zone,kasan_in_unsafe
_dlil_attach_filter,chudxnu_kern_read,kasan_crash_report
_necp_client_register_socket_flow,chudxnu_task_read,__asan_alloca_poison
_vm_map_protect,chudxnu_vm_unslide," __sanitizer_ptr_sub(uptr a, uptr b)"
_vm_pageout_scan,chudxnu_thread_get_callstack64_internal,__sanitizer_ptr_cmp
_buf_iterate,chudxnu_thread_get_callstack64_kperf,__asan_poison_stack_memory
_vn_write,do_kernel_backtrace,__asan_unpoison_stack_memory
_defrtrlist_update,do_backtrace32,__asan_init
_nfs4_delegation_return,vm32__map_exec_lockdown,run_test_for_zone
_task_create_internal,vm_map_exec_lockdown,drop_priv
_seldrop_locked,lpss_uart_enable,benchmark_init
_handle_debugger_trap,lpss_uart_re_init,benchmark_optswitch
_in6_purgeaddr,kasan_is_shadow_mapped,benchmark_initrun
IOService::invokeNotifier(_IOServiceNotifier *),kasan_lock_held,benchmark_initworker
_nfs4_setlock_rpc,kasan_check_enabled,benchmark_initbatch
_ip_dn_ctl,kasan_poison_active,benchmark
_ah_hmac_sha2_256_init,kasan_alloc_crc,benchmark_finibatch
_filt_wltouch,fle_crc,benchmark_finiworker
_semop,kasan_traverse_mappings,benchmark_result
_kdp_init,sysctl_fakestack_enable,benchmark_finirun
_kperf_sample_cpu,add_blacklist_entry,benchmark_fini
_dummynet,map_type,parse_range
_ttwrite,_save_atm_diagnostic_flag,server
_thread_switch,_mutate_atm_diagnostic_flag,client
_kauth_authorize_process_callback,_reset_atm_diagnostic_flag,bread
_wait4_nocancel,T_DECL,doit
_vn_setlabel,_get_sudo_invoker,init_overhead
_nfs4_open,drop_priv,init_loop
_decmpfs_fetch_compressed_header,is_development_kernel,cleanup
_bridge_rtupdate,set_memorystatus_vm_map_fork_pidwatch,rd
_memorystatus_init_snapshot_vmstats,get_memorystatus_vm_map_fork_pidwatch,wr
_vm_compressor_compact_and_swap,wait_for_free_mem,rdwr
_dlil_detach_filter_internal,spawn_child_process,mcp
_vm_object_deallocate,test_child_process,fwr
_c_seg_swapin,T_HELPER_DECL,frd
_commpage_populate,memorystatus_vm_map_fork_parent,fcp
_nfs_flushcommits,print_zone_info,loop_bzero
_memory_object_control_uiomove,query_zone_info,loop_bcopy
_vm_pageout_page_queue,vme_zone_compares_to_vm_objects,cp
_nfs_gss_clnt_ctx_renew,verify_generic_jetsam_criteria,reverse_bits
_decmpfs_read_compressed,print_zone_map_size,handle_scheduler
_sonewconn,log_hexdump,morefds
_vm_page_insert_internal,get_skywalk_features,sched_ncpus
_rmdirat_internal,setup_ipsec_test,create_daemons
_btlog_add_entry,setup_utun_test,create_pipes
_clock_wakeup_calendar,check_enables,initialize_overhead
_kernel_bootstrap,tunsock_get_ifname,cleanup_overhead
_nfs4_vnop_setxattr,ifnet_get_flags,open_file
_nfslockdans,ifnet_add_addr4,tcp_accept
_ah_keyed_md5_init,create_sa,sock_optimize
IOService::detach(IOService*),try_connect,sockport
IOGeneralMemoryDescriptor::complete(unsigned int),create_tunsock,tcp_server
_vm_page_reactivate_local,ipsec_stats,tcp_connect
_insmntque,permute_enables,ds_rec_type
_nstat_pcb_detach,cleanup_tunsock,main
_vm_object_deactivate_pages,setup_tunsock,traverse_ptrchain
_nstat_idle_check,freeze_helper_process,block
_inpcb_timeout,run_compressor_test,unblock
_tcp_timers,WAIT_FOR_CHILDREN,gethrtime
_mptcp_output,PROC_INFO_CALL,actual_main
_nd6_ioctl,get_tty_dev,worker_thread
_nd6_prproxy_sols_purge,__proc_info,worker_process
_vm_page_diagnose,proc_info_listpids_handler,usage
_nfsrv_getcache,proc_info_call_pidinfo_handler,print_warnings
_knote_adjust_qos,free_proc_config,print_stats
_sigprocmask,send_action_to_child_processes,update_stats
_task_wait_to_return,kill_child_processes,barrier_create
_decmpfs_file_is_compressed,spawn_child_processes,barrier_destroy
_in6_rtqkill,proc_info_caller,barrier_queue
_unp_get_locks_in_order,free_proc_info,gettindex
_nfs_request_destroy,sock_open_common,getpindex
_frag6_timeout,sock_open,gettsdindex
"IOService::messageClient(unsigned int,OSObject *,void *,unsigned long)",sock_bind,getnsecs
_ifnet_ioctl,sockv6_open, getusecs
_necp_destroy_client,sockv6_bind,rdtsc
_c_seg_free_locked,sock_get_port,setfdlimit
_vm_page_free_unlocked,bind_sockets,sizetoll
_netagent_ioctl,second_thread,sizetoint
_ah_keyed_sha1_init,multithreaded_bind_test,print_bar
_psignal_internal,run_multithreaded_bind_test,doublecmp
_nullfs_vfs_getattr,run_test,print_histo
_ah_hmac_sha2_512_init,,compute_stats
_ah_hmac_sha2_384_init,,crunch_stats
_fp_tryswap,,fit_line
_file_vnode_withvid,,nop
"MakeReferenceTable(OpaqueDTEntry *,bool)",,get_nsecs_overhead
_clock_initialize_calendar,,get_nsecs_resolution
_vm_map_copy_overwrite_nested,,remove_outliers
_sysctl_root,,dummy
_sendfile,,spinme
IODTNVRAM::removeProperty(OSSymbol const*),,readall
_c_seg_do_minor_compaction_and_unlock,,loopback
_nfs_read_rpc,,prepare_localtcp_once
_ifnet_detacher_thread_cont,,prepare_localtcp
_necp_create_nexus_assign_message,,prepare_socketpair
_necp_update_flow_protoctl_event,,prepare_fifos
_in6_ifattach_prelim,,cleanup_fifos
_ttioctl_locked,,prepare_pipes
___mac_mount,,lookupa
_dlil_input_handler,,lookup
_mac_proc_check_proc_info,,recurse2
_mac_vnode_check_clone,,lookup_family
_mac_vnode_check_unlink,,
_mac_vnode_check_link,,
_mac_system_check_sysctlbyname,,
_mac_socket_check_accepted,,
_nfs_write_rpc2,,
_dqrele,,
_throttle_lowpri_io,,
_ifnet_attach,,
_vlan_input,,
_ip6_getmoptions,,
_mac_proc_check_signal,,
_mac_proc_check_suspend_resume,,
_mac_proc_check_ledger,,
_mac_proc_check_get_cs_info,,
_mac_proc_check_set_cs_info,,
_mac_vnode_check_access,,
_mac_vnode_check_chroot,,
_mac_vnode_check_create,,
_mac_vnode_check_exchangedata,,
_mac_vnode_check_getattr,,
_mac_vnode_check_getattrlist,,
_mac_vnode_check_ioctl,,
_mac_vnode_check_kqfilter,,
_mac_vnode_check_open,,
_mac_vnode_check_label_update,,
_mac_vnode_check_searchfs,,
_mac_vnode_check_select,,
_mac_vnode_check_setacl,,
_mac_vnode_check_setattrlist,,
_mac_vnode_check_setflags,,
_mac_vnode_check_setmode,,
_mac_vnode_check_setowner,,
_mac_vnode_check_stat,,
_mac_vnode_check_truncate,,
_mac_vnode_check_uipc_bind,,
_mac_vnode_check_uipc_connect,,
_mac_mount_check_mount,,
_mac_mount_check_setattr,,
_mac_mount_check_fsctl,,
_mac_system_check_acct,,
_thread_dup,,
_nfs_vnop_pagein,,
_vnode_makenamedstream,,
_kqueue_end_processing,,
_set_procsigmask,,
_m_drain,,
_mac_proc_check_setauid,,
_mac_proc_check_setaudit,,
_mac_proc_check_debug,,
_mac_proc_check_fork,,
_mac_proc_check_inherit_ipc_ports,,
_mac_proc_check_sched,,
_mac_proc_check_wait,,
_mac_mount_check_snapshot_create,,
_mac_mount_check_snapshot_delete,,
_mac_mount_check_snapshot_revert,,
_mac_file_check_library_validation,,
_panic_i386_backtrace,,
_getdirentries_common,,
_ifnet_llreach_alloc,,
_csops_internal,,
_mac_cred_check_label_update_execve,,
_mac_vnode_check_chdir,,
_mac_vnode_check_fsgetpath,,
_mac_vnode_check_listextattr,,
_mac_vnode_check_readdir,,
_mac_vnode_check_revoke,,
_mac_vnode_find_sigs,,
_mac_mount_check_remount,,
_mac_mount_check_umount,,
_mac_mount_check_stat,,
_mac_mount_check_label_update,,
_mac_sysvsem_check_semctl,,
_mac_sysvsem_check_semop,,
_mac_sysvshm_check_shmat,,
_mac_sysvshm_check_shmctl,,
_mac_sysvshm_check_shmget,,
_mac_sysvmsq_check_enqueue,,
_mac_sysvmsq_check_msqctl,,
_mac_posixsem_check_unlink,,
_mac_posixshm_check_open,,
_mac_posixshm_check_mmap,,
_mac_posixshm_check_truncate,,
_mac_posixshm_check_unlink,,
_mac_socket_check_bind,,
_mac_socket_check_connect,,
_mac_socket_check_create,,
_mac_socket_check_ioctl,,
_mac_socket_check_received,,
_mac_socket_check_send,,
_mac_socket_check_setsockopt,,
_mac_socket_check_getsockopt,,
_mac_pipe_check_kqfilter,,
_mac_pipe_check_ioctl,,
_mac_pipe_check_select,,
_mac_file_check_dup,,
_mac_file_check_fcntl,,
_mac_file_check_ioctl,,
_mac_file_check_get,,
_mac_file_check_set,,
_mac_file_check_lock,,
_mptcp_preproc_sbdrop,,
_allocate_storage_unit,,
_proc_pidregionpathinfo2,,
_mac_system_check_audit,,
_mac_proc_check_getauid,,
_mac_proc_check_getaudit,,
_mac_iokit_check_open,,
_mac_iokit_check_set_properties,,
_mac_iokit_check_get_property,,
_mac_iokit_check_nvram_set,,
_mac_task_check_set_host_special_port,,
_sched_multiq_processor_queue_remove,,
_mac_task_check_set_host_exception_port,,
_ledger_entry_check_new_balance,,
_vc_enable,,
_lck_mtx_lock_wait_x86,,
_nfs_open_state_set_busy,,
_nfs3_getquota,,
_exchangedata,,
_nstat_ifnet_release,,
_fp_drop,,
IOWorkLoop::runEventSources(void),,
_mac_system_check_auditon,,
_mac_cred_check_label_update,,
_mac_cred_check_visible,,
_mac_proc_check_get_task_name,,
_mac_proc_check_get_task,,
_mac_proc_check_expose_task,,
_mac_proc_check_map_anon,,
_mac_system_check_reboot,,
_mac_system_check_swapon,,
_mac_system_check_swapoff,,
_mac_system_check_kas_info,,
_mac_sysvsem_check_semget,,
_mac_sysvshm_check_shmdt,,
_mac_sysvmsq_check_msgrcv,,
_mac_sysvmsq_check_msgrmid,,
_mac_sysvmsq_check_msqget,,
_mac_sysvmsq_check_msqsnd,,
_mac_sysvmsq_check_msqrcv,,
_mac_posixsem_check_create,,
_mac_posixsem_check_open,,
_mac_posixsem_check_post,,
_mac_posixsem_check_wait,,
_mac_posixshm_check_create,,
_mac_posixshm_check_stat,,
_mac_socket_check_accept,,
_mac_socket_check_stat,,
_mac_socket_check_listen,,
_mac_socket_check_receive,,
_mac_pipe_check_read,,
_mac_pipe_check_stat,,
_mac_pipe_check_write,,
_mac_iokit_check_device,,
_mac_iokit_check_filter_properties,,
_mac_iokit_check_nvram_delete,,
_mac_iokit_check_nvram_get,,
_mac_file_check_inherit,,
_mac_file_check_receive,,
_mac_file_check_get_offset,,
_mac_file_check_change_offset,,
_mac_kext_check_load,,
_mac_kext_check_unload,,
_ledger_refill,,
"IOSharedInterruptController::handleInterrupt(void *,IOService *,int)",,
_kdp_serial_receive,,
_getattrlistbulk,,
_key_newsav,,
_mac_proc_check_mprotect,,
_mac_proc_check_run_cs_invalid,,
_mac_vnode_check_setutimes,,
_mac_system_check_chud,,
_mac_system_check_host_priv,,
_mac_system_check_nfsd,,
_mac_system_check_settime,,
_mac_iokit_check_hid_control,,
_mac_file_check_create,,
_mac_kext_check_query,,
_mac_task_check_expose_task,,
_igmp_sendpkt,,
_tcp_reass,,
_mptcp_clean_reinjectq,,
_kauth_authorize_fileop,,
_knote_drop,,
_mac_file_check_mmap,,
_cpm_allocate,,
_vc_progress_task,,
_pmap_unnest,,
_frag_timeout,,
_DebuggerWithContext,,
_buf_invalidateblks,,
_decmpfs_free_compressed_data,,
__Xtask_get_exception_ports,,
__Xthread_get_exception_ports,,
_nfsiod_continue,,
_set_packet_service_class,,
_flow_divert_add_data_statistics,,
_panic_trap_to_debugger,,
_timer_longterm_scan,,
_vm_page_wire,,
_nfs_open_owner_set_busy,,
_nstat_control_source_add,,
_kdbg_set_tracing_enabled,,
_aio_queue_async_request,,
_file_socket,,
IOService::initialize(void),,
_nfsrv_rmdir,,
_bridge_link_event,,
_shmget,,
_ipc_thread_reset,,
_thread_get_state,,
_thread_state_initialize,,
_pet_thread_loop,,
_decmpfs_decompress_file,,
_bond_output,,
_icmp_error,,
_file_vnode,,
_mac_cred_label_update_execve,,
__Xprocessor_set_policy_control,,
_key_newsav2,,
_kdbg_read,,
_proc_pidregionpathinfo,,
_unix_syscall,,
_mac_system_check_auditctl,,
_dqreclaim,,
_rip_ctlinput,,
_postsig_locked,,
_mac_task_check_set_host_exception_ports,,
_nfs_gss_clnt_verf_get,,
_nfs_getattr_internal,,
_dqsync,,
_ifioctl_ifreq,,
"IOService::actionPMWorkQueueInvoke(IOPMRequest *,IOPMWorkQueue *)",,
_rip6_output,,
_kdbg_control,,
_file_drop,,
_StartIOKit,,
_thread_set_state_internal,,
_vm_page_free_prepare,,
_nfs_gss_clnt_rpcdone,,
_fasttrap_pid_disable,,
_key_setdumpsa,,
_is_io_connect_unmap_memory_from_task,,
_task_update_logical_writes,,
_timer_queue_shutdown,,
_waitq_prepost_reserve,,
_nfs4_vnop_getattr,,
_sysctl_dumpentry,,
_kprintf,,
__Xhost_get_exception_ports,,
_vm_page_free_prepare_object,,
_task_init,,
_waitq_pull_thread_locked,,
_heap_insert,,
_mptcp_sescreate,,
_clear_procsiglist,,
_adjtime,,
_ipc_thread_terminate,,
_kalloc_zone,,
_semaphore_wait_internal,,
__Xtask_set_policy,,
_timer_queue_migrate,,
_vm_object_page_op,,
_vm_pageout_iothread_internal_continue,,
_devfs_dntovn,,
_inp_flowadv,,
_key_getsastat,,
_set_sched_pri,,
_getfh,,
_bpf_detachd,,
_rtfree_common,,
_set_fs_parms,,
_vm_page_replace,,
_dqget,,
_tcp_do_mptcp_options,,
_settimeofday,,
IODTNVRAM::registerNVRAMController(IONVRAMController *),,
_bridge_ioctl_scache,,
_thread_set_mode_and_absolute_pri,,
_key_setsaval,,
_aio_return,,
_file_flags,,
IOUserClient::destroyUserReferences(OSObject *),,
__Xhost_swap_exception_ports,,
_vm_swap_get,,
_vm_fault_copy_cleanup,,
__Xio_service_add_interest_notification,,
__Xio_service_add_interest_notification_64,,
_filt_machportprocess,,
_task_generate_corpse,,
_device_pager_deallocate,,
_print_launchd_info,,
_nfs_node_set_busy2,,
_nfs_softterm,,
_in6_pcbdetach,,
_acctwatch,,
_fill_vnodeinfo,,
__Xmach_port_deallocate,,
_vm_map_enter_mem_object_control,,
_mptcp_timer,,
_in6_lltable_alloc,,
_mremap_encrypted,,
_timer_sysctl_set,,
__Xmach_port_peek,,
__Xmach_vm_map_external,,
__Xmap,,
__Xmap_64,,
_cluster_iodone,,
_mp_timeout,,
_ulock_wake,,
_proc_get_thread_policy,,
_vnode_getiocount,,
_key_do_allocsa_policy,,
OSMetaClassMeta::~OSMetaClassMeta(),,
OSObject::MetaClass::~MetaClass(),,
OSArray::MetaClass::~MetaClass(),,
OSBoolean::MetaClass::~MetaClass(),,
OSCollection::MetaClass::~MetaClass(),,
OSCollectionIterator::MetaClass::~MetaClass(),,
OSData::MetaClass::~MetaClass(),,
OSDictionary::MetaClass::~MetaClass(),,
OSIterator::MetaClass::~MetaClass(),,
OSKext::MetaClass::~MetaClass(),,
OSNumber::MetaClass::~MetaClass(),,
OSOrderedSet::MetaClass::~MetaClass(),,
OSSerialize::MetaClass::~MetaClass(),,
OSSerializer::MetaClass::~MetaClass(),,
OSSet::MetaClass::~MetaClass(),,
OSString::MetaClass::~MetaClass(),,
OSSymbol::MetaClass::~MetaClass(),,
IOConditionLock::MetaClass::~MetaClass(),,
IORegistryEntry::MetaClass::~MetaClass(),,
IORegistryPlane::MetaClass::~MetaClass(),,
IORegistryIterator::MetaClass::~MetaClass(),,
IOService::MetaClass::~MetaClass(),,
_IOServiceNotifier::MetaClass::~MetaClass(),,
_IOServiceNullNotifier::MetaClass::~MetaClass(),,
_IOServiceInterestNotifier::MetaClass::~MetaClass(),,
_IOConfigThread::MetaClass::~MetaClass(),,
_IOServiceJob::MetaClass::~MetaClass(),,
IOResources::MetaClass::~MetaClass(),,
_IOOpenServiceIterator::MetaClass::~MetaClass(),,
IONotifier::MetaClass::~MetaClass(),,
IOPMRequest::MetaClass::~MetaClass(),,
IOPMRequestQueue::MetaClass::~MetaClass(),,
IOPMWorkQueue::MetaClass::~MetaClass(),,
IOPMCompletionQueue::MetaClass::~MetaClass(),,
IOServicePM::MetaClass::~MetaClass(),,
IOPMinformee::MetaClass::~MetaClass(),,
IOPMinformeeList::MetaClass::~MetaClass(),,
IOPMPowerStateQueue::MetaClass::~MetaClass(),,
IOCatalogue::MetaClass::~MetaClass(),,
IOPMPowerSource::MetaClass::~MetaClass(),,
IOPMPowerSourceList::MetaClass::~MetaClass(),,
IOPolledInterface::MetaClass::~MetaClass(),,
IOPolledFilePollers::MetaClass::~MetaClass(),,
IOWorkLoop::MetaClass::~MetaClass(),,
IOEventSource::MetaClass::~MetaClass(),,
IOInterruptEventSource::MetaClass::~MetaClass(),,
IOCommandGate::MetaClass::~MetaClass(),,
IOCommand::MetaClass::~MetaClass(),,
IOCommandPool::MetaClass::~MetaClass(),,
IODMAEventSource::MetaClass::~MetaClass(),,
IOFilterInterruptEventSource::MetaClass::~MetaClass(),,
IOTimerEventSource::MetaClass::~MetaClass(),,
IOBufferMemoryDescriptor::MetaClass::~MetaClass(),,
IODMACommand::MetaClass::~MetaClass(),,
IOInterleavedMemoryDescriptor::MetaClass::~MetaClass(),,
IOMapper::MetaClass::~MetaClass(),,
IOMemoryCursor::MetaClass::~MetaClass(),,
IONaturalMemoryCursor::MetaClass::~MetaClass(),,
IOBigMemoryCursor::MetaClass::~MetaClass(),,
IOLittleMemoryCursor::MetaClass::~MetaClass(),,
IOMemoryDescriptor::MetaClass::~MetaClass(),,
IOGeneralMemoryDescriptor::MetaClass::~MetaClass(),,
IOMemoryMap::MetaClass::~MetaClass(),,
IOMultiMemoryDescriptor::MetaClass::~MetaClass(),,
IORangeAllocator::MetaClass::~MetaClass(),,
IOSubMemoryDescriptor::MetaClass::~MetaClass(),,
IOPlatformExpert::MetaClass::~MetaClass(),,
IODTPlatformExpert::MetaClass::~MetaClass(),,
IOPlatformExpertDevice::MetaClass::~MetaClass(),,
IOPlatformDevice::MetaClass::~MetaClass(),,
IOPanicPlatform::MetaClass::~MetaClass(),,
IOCPU::MetaClass::~MetaClass(),,
IOCPUInterruptController::MetaClass::~MetaClass(),,
IODTNVRAM::MetaClass::~MetaClass(),,
IODMAController::MetaClass::~MetaClass(),,
IOInterruptController::MetaClass::~MetaClass(),,
IOSharedInterruptController::MetaClass::~MetaClass(),,
IOMachPort::MetaClass::~MetaClass(),,
IOUserIterator::MetaClass::~MetaClass(),,
IOUserNotification::MetaClass::~MetaClass(),,
IOServiceUserNotification::MetaClass::~MetaClass(),,
IOServiceMessageUserNotification::MetaClass::~MetaClass(),,
IOUserClient::MetaClass::~MetaClass(),,
IOKitDiagnostics::MetaClass::~MetaClass(),,
IOKitDiagnosticsClient::MetaClass::~MetaClass(),,
IODataQueue::MetaClass::~MetaClass(),,
IOSharedDataQueue::MetaClass::~MetaClass(),,
IOReporter::MetaClass::~MetaClass(),,
IOSimpleReporter::MetaClass::~MetaClass(),,
IOStateReporter::MetaClass::~MetaClass(),,
IOHistogramReporter::MetaClass::~MetaClass(),,
IOReportLegend::MetaClass::~MetaClass(),,
IORTC::MetaClass::~MetaClass(),,
RootDomainUserClient::MetaClass::~MetaClass(),,
IOPowerConnection::MetaClass::~MetaClass(),,
IOWatchDogTimer::MetaClass::~MetaClass(),,
IOSyncer::MetaClass::~MetaClass(),,
PMAssertionsTracker::MetaClass::~MetaClass(),,
PMHaltWorker::MetaClass::~MetaClass(),,
IOPMrootDomain::MetaClass::~MetaClass(),,
IOPMServiceInterestNotifier::MetaClass::~MetaClass(),,
PMTraceWorker::MetaClass::~MetaClass(),,
PMSettingHandle::MetaClass::~MetaClass(),,
PMSettingObject::MetaClass::~MetaClass(),,
IORootParent::MetaClass::~MetaClass(),,
_mac_vnode_check_getextattr,,
_mac_vnode_check_lookup_preflight,,
_mac_vnode_check_setextattr,,
_vm_shared_region_start_address,,
_mount_lookupby_volfsid,,
_icmp_reflect,,
_ipf_inject_output,,
_pid_vnodeinfopath,,
IOCPUSleepKernel(void),,
__Xio_object_conforms_to,,
_nfs_vinvalbuf_internal,,
_necp_assign_client_result,,
_pid_suspend,,
_IOSystemShutdownNotification,,
_mac_vnode_check_deleteextattr,,
_mac_vnode_check_lookup,,
_mac_vnode_check_read,,
_mac_vnode_check_trigger_resolve,,
_mac_vnode_check_write,,
_mac_mount_check_getattr,,
_ipc_importance_task_propagate_helper,,
__Xmach_port_get_set_status,,
_vm_purgeable_token_add,,
_initid,,
IOService::lockForArbitration(bool),,
_mac_policy_unregister,,
_getxattr,,
_finishdup,,
_lck_rw_done,,
_sysctl_vfs_ctlbyfsid,,
_dev_add_node,,
_nfs_asyncio_finish,,
_getitimer,,
__Xmach_port_get_attributes,,
_vnode_iterate,,
_fdexec,,
_memory_object_change_attributes,,
_serial_keyboard_poll,,
_vc_progressmeter_task,,
_vfs_settriggercallback,,
_tcp_newtcpcb,,
_ntp_adjtime,,
"IOSharedInterruptController::registerInterrupt(IOService *,int,void *,void (*)(void *,void *,void *,int),void *)",,
__Xmach_port_allocate_name,,
_mtrr_update_cpu,,
_necp_force_update_client,,
_tcp_cache_set_cookie,,
_thread_depress_abstime,,
_nfs_mount_state_in_use_start,,
_fchown,,
_decmpfs_pagein_compressed,,
_nstat_control_cleanup_source,,
_kdbg_wait,,
_kcb_find_socket,,
_sofreelastref,,
_mac_vnode_check_readlink,,
_ml_init_lock_timeout,,
_dlil_rxpoll_input_thread_func,,
_feth_output,,
_mac_priv_check,,
_mach_port_get_set_status,,
_necp_client_assign_from_socket,,
_kxld_kext_export_linked_object,,
__Xmach_port_kernel_object,,
_mptcp_check_subflows_and_remove,,
OSKext::initialize(void),,
_mac_exc_update_task_crash_label,,
__Xmach_port_allocate,,
_c_seg_need_delayed_compaction,,
_nfs_vnop_read,,
_fdfree,,
___mac_get_proc,,
_nfs_flush,,
_vfs_init_io_attributes,,
_randomid,,
